EV Sahibi,Deplasman,Skor,EV GOL,DEP GOL,TOPLAM GOL,SONUÇ,1.5-ALT/ÜST,2.5-ALT/ÜST,3.5-ALT/ÜST,4.5-ALT/ÜST,MS-1,MS-X,MS-2,ÇŞ-1X,ÇŞ-12,ÇŞ-X2,H:02-1,H:02-X,H:02-2,H:01-1,H:01-X,H:01-2,H:10-1,H:10-X,H:10-2,H:20-1,H:20-X,H:20-2,ALL
Rayo Majadah,Celta Vigo B,1-2,1,2,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.60,3.00,3.50,1.10,1.20,1.65,4.00,3.25,1.18,2.35,2.70,1.65,1.10,3.25,5.50,1.00,3.50,8.00,ALL
Deport Pasto,D.La Equidad,1-2,1,2,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.55,2.70,4.00,1.08,1.20,1.65,4.40,3.20,1.18,3.10,2.55,1.65,1.08,3.10,7.00,1.00,3.30,10.00,ALL
AL Nasr SC Benghazi,Hassania A,5-0,5,0,5,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,2.20,2.70,2.50,1.25,1.25,1.35,7.50,4.25,1.08,4.00,3.20,1.35,1.25,3.30,4.75,1.05,4.25,9.00,ALL
Alianza Ptr.,Deportes Tol,0-1,0,1,1,MS - 2,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.10,2.55,2.65,1.20,1.30,1.35,6.25,3.40,1.05,3.50,2.75,1.40,1.20,2.90,4.60,1.02,3.40,7.50,ALL
St Johnstone,Celtic,0-1,0,1,1,MS - 2,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,6.50,3.75,1.20,2.30,1.10,1.02,8.25,3.40,1.02,2.30,2.75,1.55,1.55,2.95,2.45,1.00,1.00,1.00,ALL
US Bousalem,EGS Gafsa,0-1,0,1,1,MS - 2,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,5.00,4.25,1.25,2.15,1.10,1.05,12.00,3.90,1.05,2.15,2.50,2.00,1.40,3.10,3.75,1.00,1.00,1.00,ALL
Nitra,Slovan Bratislava,0-1,0,1,1,MS - 2,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,4.00,3.30,1.45,1.85,1.15,1.08,8.50,3.50,1.00,6.00,3.30,1.08,1.85,2.70,2.05,1.25,3.10,3.40,ALL
Orgryte,AIK Solna,0-1,0,1,1,MS - 2,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,4.00,3.10,1.50,1.80,1.18,1.08,8.50,3.40,1.00,6.00,3.30,1.08,1.80,2.75,2.10,1.25,3.20,3.60,ALL
Nantes,Lille,0-1,0,1,1,MS - 2,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.50,2.70,2.35,1.32,1.32,1.28,9.00,4.25,1.05,4.70,3.25,1.28,1.32,3.20,4.30,1.06,4.20,8.25,ALL
SD Ejea,Castellon,0-1,0,1,1,MS - 2,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.35,2.65,2.25,1.35,1.25,1.30,6.50,3.50,1.05,3.90,2.90,1.25,1.25,2.85,3.75,1.05,3.40,6.50,ALL
Mainz 05 II,Astoria W,0-1,0,1,1,MS - 2,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.85,3.10,2.60,1.20,1.20,1.45,4.50,3.50,1.12,2.70,3.00,1.45,1.20,3.25,3.90,1.05,3.60,6.00,ALL
Ingolstadt,Vik. Köln,0-1,0,1,1,MS - 2,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.50,3.30,3.60,1.08,1.18,1.75,3.30,3.30,1.25,2.05,2.95,1.75,1.08,3.40,5.25,1.00,3.60,7.25,ALL
Ankaragücü,Sivasspor,0-3,0,3,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,3.40,3.20,1.70,1.67,1.25,1.15,9.50,4.60,1.00,5.80,3.90,1.15,1.67,3.20,2.55,1.22,3.85,4.60,ALL
CF America,Necaxa,0-3,0,3,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.45,3.10,4.25,1.05,1.18,1.80,3.40,3.20,1.25,2.05,2.80,1.80,1.05,3.40,6.25,1.00,3.50,8.50,ALL
Zanaco FC,Pyramids FC,0-3,0,3,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,2.20,2.75,2.50,1.25,1.25,1.35,8.00,4.25,1.08,4.00,3.10,1.35,1.25,3.30,4.75,1.05,4.25,9.00,ALL
Dornbirn,Wacker Innsbruck,0-4,0,4,4,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,2.25,3.00,2.10,1.30,1.20,1.25,5.50,3.60,1.08,3.75,3.10,1.25,1.30,3.10,3.20,1.08,3.60,5.25,ALL
Olimpia,Stal Mielec,0-5,0,5,5,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,2.60,2.90,1.95,1.40,1.20,1.20,6.25,3.60,1.05,4.00,3.20,1.20,1.40,2.95,2.90,1.10,3.50,4.75,ALL
Sundsvall,Varbergs,1-4,1,4,5,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,2.65,3.10,1.85,1.45,1.20,1.20,6.25,3.60,1.02,4.00,3.20,1.20,1.45,2.95,2.70,1.12,3.50,4.50,ALL
St. Pölten,Wolfsberg,0-4,0,4,4,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,3.50,3.25,1.55,1.70,1.18,1.10,7.25,3.60,1.00,5.00,3.40,1.10,1.70,2.95,2.10,1.25,3.30,3.40,ALL
Lecce,Atalanta,2-7,2,7,9,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,4.90,3.90,1.35,2.25,1.15,1.06,11.00,4.70,1.00,7.50,4.40,1.06,2.25,3.35,1.80,1.48,3.60,2.85,ALL
Young Lions FC,Hougang United FC,1-4,1,4,5,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,5.25,4.75,1.25,2.40,1.08,1.05,12.00,4.60,1.00,8.50,4.60,1.05,2.40,3.40,1.60,1.65,3.50,2.25,ALL
Puszcza,C Glogow,1-3,1,3,4,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,2.05,2.65,2.60,1.20,1.25,1.35,5.75,3.40,1.08,3.40,2.80,1.35,1.20,2.95,4.40,1.02,4.40,9.50,ALL
Tvaakers,Norrköping,2-1,2,1,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,8.25,5.00,1.08,2.80,1.05,1.00,2.80,3.20,1.25,2.10,3.10,1.67,35.00,28.00,8.25,30.00,9.50,3.90,ALL
Calcio Catania,US Vibonese Calcio,2-1,2,1,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.80,2.70,3.10,1.20,1.25,1.50,5.75,3.90,1.15,3.10,3.10,1.55,1.15,3.60,6.00,1.02,4.40,10.00,ALL
Seattle Sounders,Chicago Fire,2-1,2,1,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.75,2.95,3.10,1.15,1.20,1.50,4.25,3.50,1.15,2.55,2.95,1.50,1.15,3.30,4.40,1.02,3.60,6.50,ALL
Coquimbo Unido,Deportes La Serena,2-1,2,1,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.75,2.85,3.40,1.18,1.25,1.55,5.75,3.90,1.15,2.95,2.95,1.60,1.15,3.60,6.50,1.02,4.40,12.00,ALL
Aves,P. Ferreira,1-3,1,3,4,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,2.25,2.60,2.35,1.25,1.25,1.30,6.25,3.40,1.05,3.75,2.85,1.30,1.25,2.90,4.00,1.05,3.50,6.75,ALL
PSM Makassar,PSS Sleman,2-1,2,1,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.50,3.30,4.00,1.10,1.18,1.80,4.40,3.60,1.25,2.35,2.90,1.80,1.10,3.90,7.50,1.00,4.40,12.00,ALL
Persija Jakarta,Pusamania Borneo,3-2,3,2,5,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,1.45,3.40,4.25,1.08,1.18,1.80,3.90,3.60,1.30,2.15,3.00,1.85,1.08,4.00,8.00,1.00,4.50,12.00,ALL
CA Zacatepec,CF Cafetaleros De Chiapas,2-1,2,1,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.45,3.30,4.40,1.08,1.15,1.85,3.90,3.50,1.30,2.20,3.00,1.85,1.08,4.00,8.00,1.00,4.40,12.00,ALL
Z Pruszkow,Pogon Siedl,2-1,2,1,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.35,3.75,4.25,1.10,1.12,2.00,3.40,3.40,1.40,2.00,2.95,1.95,1.08,4.00,7.50,1.00,4.50,12.00,ALL
Sao Paulo SP,Ponte Preta,2-1,2,1,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.35,3.40,5.50,1.05,1.15,2.00,3.60,3.30,1.40,2.00,2.80,2.00,1.05,4.00,10.00,1.00,1.00,1.00,ALL
Sevilla,Osasuna,3-2,3,2,5,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,1.35,3.55,5.60,1.05,1.18,2.25,3.35,3.40,1.42,1.95,2.95,2.25,1.05,4.10,9.75,1.00,4.30,14.00,ALL
Spartak Trna,VZ Moravce V,2-1,2,1,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.55,3.00,3.60,1.08,1.20,1.67,3.90,3.25,1.20,2.30,2.75,1.67,1.08,3.25,5.75,1.00,3.50,8.25,ALL
New York Red Bulls,FC Cincinnati,3-2,3,2,5,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,1.20,4.00,4.25,1.02,1.08,2.35,2.20,3.00,1.35,1.50,2.95,2.35,1.02,3.50,7.50,1.00,4.50,12.00,ALL
AS Djerba,Club S Hammam-Lif,3-2,3,2,5,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,2.95,2.95,1.85,1.50,1.20,1.20,12.00,4.25,1.02,6.25,3.40,1.20,1.50,2.85,3.40,1.12,3.90,7.00,ALL
Sadcf Internacional De Ma,I. Eivissa,2-1,2,1,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,2.35,2.90,2.05,1.35,1.20,1.25,6.50,3.50,1.05,4.00,2.90,1.25,1.35,2.80,3.40,1.08,3.40,5.75,ALL
AS Trencin,SKF Sered,2-1,2,1,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.30,3.60,5.00,1.05,1.12,2.05,2.50,3.20,1.45,1.65,3.00,2.05,1.05,3.60,6.25,1.00,3.50,8.25,ALL
Rejiche,Club Sportif Sfaxien,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,3.75,3.50,1.50,1.80,1.15,1.12,7.50,3.60,1.12,1.80,2.70,2.50,1.25,3.50,4.75,1.00,1.00,1.00,ALL
Espanyol,Atletico Madrid,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,3.65,2.70,1.80,1.58,1.30,1.12,12.00,4.30,1.00,7.25,3.60,1.12,1.58,2.90,3.15,1.15,3.85,6.25,ALL
Mirandes,Girona,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,3.00,2.65,1.95,1.45,1.25,1.18,6.00,3.50,1.18,1.45,3.00,3.40,1.12,4.00,6.75,1.00,1.00,1.00,ALL
Triglav,NS Mura,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.80,3.20,1.70,1.60,1.20,1.18,9.00,4.60,1.02,5.50,3.90,1.18,1.45,3.00,2.55,1.15,3.50,4.25,ALL
Ümraniyespor,Bursaspor,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.05,2.85,2.60,1.25,1.25,1.40,6.50,4.25,1.10,3.50,3.25,1.40,1.25,3.50,4.60,1.05,4.40,8.25,ALL
CD Usmp,Carlos Mannucci,2-2,2,2,4,MS - X,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,1.95,2.85,2.55,1.20,1.25,1.35,5.00,3.50,1.10,2.95,3.00,1.35,1.20,3.20,4.00,1.05,3.60,6.25,ALL
Club Celaya,Tampico Madero,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.90,2.75,3.10,1.18,1.25,1.50,6.75,3.90,1.12,3.40,2.95,1.45,1.18,3.50,6.25,1.02,4.40,10.00,ALL
Sturm Graz,Austria Wien,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.85,2.95,2.75,1.18,1.20,1.45,4.60,3.50,1.12,2.75,2.95,1.45,1.18,3.20,4.25,1.02,3.60,6.50,ALL
Enyimba,Horoya AC,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.85,2.75,3.20,1.15,1.25,1.50,5.75,4.00,1.15,3.10,3.10,1.50,1.15,3.60,6.00,1.02,4.40,10.00,ALL
Bordeaux,OGC Nice,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.80,2.90,3.35,1.15,1.28,1.58,5.70,3.85,1.15,3.00,3.00,1.58,1.15,3.65,6.25,1.00,4.40,11.00,ALL
MSK Zilina,Dunajska S,2-2,2,2,4,MS - X,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,1.80,2.85,2.95,1.15,1.20,1.45,4.25,3.50,1.15,2.60,3.00,1.45,1.15,3.30,4.40,1.02,3.60,6.50,ALL
San Jose Earthquakes,Toronto FC,2-2,2,2,4,MS - X,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,1.75,3.10,2.80,1.15,1.20,1.50,4.00,3.50,1.15,2.55,3.00,1.50,1.15,3.30,4.25,1.02,3.75,6.25,ALL
NK Domzale,NK Celje,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.75,3.00,2.90,1.15,1.20,1.50,3.90,3.50,1.15,2.45,3.10,1.50,1.15,3.40,4.25,1.02,3.75,6.25,ALL
PSV,Feyenoord,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.70,3.10,2.90,1.15,1.20,1.55,3.90,3.50,1.18,2.40,3.00,1.55,1.15,3.40,4.25,1.00,1.00,1.00,ALL
CF Pachuca,Queretaro,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.70,2.90,3.20,1.12,1.20,1.55,4.25,3.40,1.15,2.50,2.85,1.55,1.12,3.25,5.00,1.02,3.60,7.25,ALL
Polokwane,Black Leopar,2-1,2,1,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,2.20,2.60,2.45,1.30,1.25,1.35,6.25,3.40,1.05,3.60,2.85,1.30,1.25,2.95,4.00,1.05,3.50,6.75,ALL
Leipzig,B. Leverkusen,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.42,3.75,4.25,1.08,1.18,2.05,3.15,3.70,1.40,1.95,3.30,2.05,1.08,4.30,6.75,1.00,4.75,9.75,ALL
Ruzomberok,Z Michalovce,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.55,3.00,3.60,1.08,1.20,1.67,3.75,3.30,1.20,2.25,2.85,1.67,1.08,3.30,5.50,1.00,3.50,8.00,ALL
Barcelona SC,Portoviejo,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.40,3.20,4.60,1.05,1.15,1.90,2.90,3.25,1.35,1.85,3.00,1.90,1.05,3.50,6.00,1.00,3.60,8.00,ALL
Arka Gdynia,LKS Lodz,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.80,2.70,3.10,1.12,1.25,1.45,4.75,3.40,1.12,2.75,2.80,1.45,1.12,3.10,5.00,1.02,3.50,7.50,ALL
Neftchi,Sabayil,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.35,3.30,6.00,1.05,1.15,2.05,3.60,3.30,1.40,2.00,2.80,2.05,1.05,4.00,12.00,1.00,1.00,1.00,ALL
River Plate,Df. Justicia,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.30,3.40,5.50,1.02,1.12,2.10,2.80,3.00,1.40,1.75,3.00,2.10,1.02,3.40,7.50,1.00,3.30,10.00,ALL
Widzew Lodz,Olimp Elblag,2-2,2,2,4,MS - X,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,1.25,4.00,9.00,1.08,1.08,2.25,3.25,3.20,1.45,1.85,2.75,2.55,1.05,4.00,10.00,1.00,1.00,1.00,ALL
Sport Boys,U. Deportes,3-3,3,3,6,MS - X,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,2.35,2.90,2.10,1.30,1.20,1.25,5.75,3.60,1.05,3.60,3.10,1.25,1.30,3.10,3.10,1.08,3.60,5.25,ALL
CF Badalona,CF La Nucia,2-2,2,2,4,MS - X,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,2.25,2.65,2.35,1.30,1.25,1.35,6.50,3.40,1.05,3.75,2.80,1.30,1.25,2.85,4.00,1.05,3.40,6.75,ALL
Odense,Silkeborg,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.40,3.25,4.40,1.05,1.15,1.90,3.10,3.20,1.30,1.90,2.80,1.90,1.05,3.40,6.25,1.00,3.50,8.50,ALL
C Cordoba,Banfield,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.20,2.50,2.55,1.20,1.30,1.30,6.50,3.40,1.05,3.75,2.80,1.30,1.20,2.90,4.50,1.02,3.40,7.50,ALL
FC Tambov,Rubin Kazan,0-0,0,0,0,MS - X,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.95,2.45,2.00,1.35,1.30,1.20,6.25,3.40,1.20,1.40,3.00,4.00,1.08,4.00,8.00,1.00,1.00,1.00,ALL
Orihuela CF,Barcelona B,0-0,0,0,0,MS - X,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.80,2.70,1.90,1.45,1.25,1.25,7.25,3.50,1.02,4.60,3.10,1.18,1.40,2.85,2.95,1.10,3.40,5.00,ALL
Rende Calcio 1968,AS Viterbese Castrense,0-0,0,0,0,MS - X,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.75,2.65,1.95,1.45,1.25,1.20,9.50,4.40,1.02,5.50,3.50,1.20,1.45,3.10,3.50,1.12,4.00,6.75,ALL
AE Prat,Club Lleida Esportiu,0-0,0,0,0,MS - X,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.25,2.60,2.60,1.30,1.25,1.20,7.00,3.40,1.02,4.25,2.90,1.20,1.30,2.80,3.60,1.05,3.40,6.25,ALL
Orlando City,Real Salt Lake,0-0,0,0,0,MS - X,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.75,2.95,2.90,1.15,1.20,1.50,4.25,3.40,1.15,2.60,2.90,1.50,1.15,3.25,4.50,1.02,3.60,6.75,ALL
Deportivo,Lugo,0-0,0,0,0,MS - X,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.50,2.85,4.50,1.05,1.20,1.75,4.00,3.60,1.20,2.25,2.55,1.75,1.05,3.10,7.50,1.00,3.25,10.00,ALL
Saint Pauli II,Drochtersen,3-0,3,0,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,2.40,2.85,2.05,1.35,1.25,1.25,6.00,3.60,1.05,3.75,3.10,1.25,1.35,3.00,3.20,1.08,3.50,5.25,ALL
Un. Espanola,Everton DV,2-0,2,0,2,MS - 1,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.85,2.90,2.90,1.20,1.25,1.50,6.25,3.90,1.12,3.25,3.00,1.50,1.20,3.50,5.75,1.02,4.40,10.00,ALL
LASK,Hartberg,5-1,5,1,6,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,1.15,4.25,6.75,1.02,1.08,2.45,2.05,3.10,1.70,1.40,3.00,2.80,1.02,3.50,7.50,1.00,1.00,1.00,ALL
Rapid Wien,Mattersburg,3-1,3,1,4,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,1.18,4.25,7.25,1.02,1.08,1.55,2.30,3.30,1.75,1.50,2.90,2.35,1.02,3.40,8.00,1.00,1.00,1.00,ALL
